WBAN	Date	Tie	StationType	SkyCondition	SkyConditionFlag	Visibility	VisibilityFlag	WeatherType	WeatherTypeFlag	DryBulbFarenheit	DryBulbFarenheitFlag	DryBulbCelsius	DryBulbCelsiusFlag	WetBulbFarenheit	WetBulbFarenheitFlag	WetBulbCelsius	WetBulbCelsiusFlag	DewPointFarenheit	DewPointFarenheitFlag	DewPointCelsius	DewPointCelsiusFlag	RelativeHuidity	RelativeHuidityFlag	WindSpeed	WindSpeedFlag	WindDirection	WindDirectionFlag	ValueForWindCharacter	ValueForWindCharacterFlag	StationPressure	StationPressureFlag	PressureTendency	PressureTendencyFlag	PressureChange	PressureChangeFlag	SeaLevelPressure	SeaLevelPressureFlag	RecordType	RecordTypeFlag	HourlyPrecip	HourlyPrecipFlag	Altieter	AltieterFlag
94728	20160101	0051	11	OVC037	 	10.00	 	 	 	42	 	5.6	 	35	 	1.9	 	25	 	-3.9	 	 51	 	 5	 	 	 	 	 	29.91	 	 	 	 	 	30.06	 	AA	 	 	 	30.08	 
94728	20160101	0151	11	OVC036	 	10.00	 	 	 	41	 	5.0	 	35	 	1.5	 	25	 	-3.9	 	 53	 	 3	 	 	 	 	 	29.91	 	 	 	 	 	30.06	 	AA	 	 	 	30.08	 
94728	20160101	0251	11	OVC034	 	10.00	 	 	 	41	 	5.0	 	35	 	1.7	 	26	 	-3.3	 	 55	 	 5	 	280	 	 	 	29.91	 	 	 	 	 	30.05	 	AA	 	 	 	30.08	 
94728	20160101	0351	11	OVC031	 	10.00	 	 	 	41	 	5.0	 	35	 	1.7	 	26	 	-3.3	 	 55	 	 9	 	280	 	 	 	29.91	 	 	 	 	 	30.05	 	AA	 	 	 	30.08	 
94728	20160101	0451	11	OVC044	 	10.00	 	 	 	40	 	4.4	 	35	 	1.4	 	26	 	-3.3	 	 57	 	10	 	270	 	16	 	29.89	 	 	 	 	 	30.03	 	AA	 	 	 	30.06	 
94728	20160101	0551	11	OVC035	 	10.00	 	 	 	40	 	4.4	 	35	 	1.4	 	26	 	-3.3	 	 57	 	 7	 	290	 	 	 	29.90	 	 	 	 	 	30.05	 	AA	 	 	 	30.07	 
94728	20160101	0651	11	OVC036	 	10.00	 	 	 	39	 	3.9	 	34	 	1.1	 	26	 	-3.3	 	 60	 	 0	 	000	 	 	 	29.91	 	 	 	 	 	30.05	 	AA	 	 	 	30.08	 
94728	20160101	0751	11	OVC036	 	10.00	 	 	 	39	 	3.9	 	34	 	0.9	 	25	 	-3.9	 	 57	 	 7	 	280	 	 	 	29.91	 	 	 	 	 	30.05	 	AA	 	 	 	30.08	 
94728	20160101	0851	11	FEW038	 	10.00	 	 	 	39	 	3.9	 	33	 	0.7	 	24	 	-4.4	 	 55	 	 7	 	260	 	 	 	29.92	 	 	 	 	 	30.06	 	AA	 	 	 	30.09	 
94728	20160101	0951	11	OVC035	 	10.00	 	 	 	40	 	4.4	 	34	 	1.2	 	25	 	-3.9	 	 55	 	 5	 	290	 	 	 	29.92	 	 	 	 	 	30.06	 	AA	 	 	 	30.09	 
94728	20160101	1051	11	OVC034	 	10.00	 	 	 	40	 	4.4	 	34	 	1.0	 	24	 	-4.4	 	 53	 	 6	 	 	 	20	 	29.90	 	 	 	 	 	30.04	 	AA	 	 	 	30.07	 
