Country,Data Source,Beverage Types,Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol),Recorded alcohol per capita (15+) consumption (in litres of pure alcohol)
Afghanistan,Data source,All types,,,,0.00,0.00,0.03,0.02,0.03,0.01,0.01,0.01,0.00,0.00,0.00
Afghanistan,Data source,Beer,,,,0.00,0.00,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,Data source,Wine,,,,0.00,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00
Afghanistan,Data source,Spirits,,,,0.00,0.00,0.02,0.00,0.02,0.01,0.01,0.01,0.00,0.00,0.00
Afghanistan,Data source,Other alcoholic beverages,,,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Albania,Data source,All types,,,4.96,4.98,5.58,5.36,5.22,5.04,4.91,4.41,4.27,3.94,4.54,3.96
Albania,Data source,Beer,,,1.75,1.58,2.05,2.00,1.85,1.73,1.61,1.36,1.45,1.31,1.53,1.38
Albania,Data source,Wine,,,0.90,0.98,0.99,0.98,0.98,0.97,0.99,0.80,0.58,0.40,0.82,0.44
Albania,Data source,Spirits,,,2.30,2.41,2.54,2.38,2.39,2.34,2.31,2.25,2.24,2.22,2.19,2.14
Albania,Data source,Other alcoholic beverages,,,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Algeria,Data source,All types,,0.32,0.28,0.11,0.09,0.31,0.35,0.43,0.80,0.57,0.60,0.63,0.40,0.38
Algeria,Data source,Beer,,0.12,0.13,0.07,0.04,0.25,0.23,0.33,0.64,0.49,0.52,0.53,0.26,0.25
Algeria,Data source,Wine,,0.09,0.09,0.04,0.05,0.05,0.03,0.04,0.09,0.08,0.09,0.10,0.13,0.13
Algeria,Data source,Spirits,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.00,0.00,0.01,0.00
Algeria,Data source,Other alcoholic beverages,,0.11,0.05,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Andorra,Data source,All types,,,,13.31,13.17,14.46,14.64,16.39,17.84,19.00,20.93,23.50,,
Andorra,Data source,Beer,,,,4.61,4.62,4.71,4.86,5.40,5.49,5.69,5.84,5.78,,
Andorra,Data source,Wine,,,,6.03,6.06,6.92,7.07,7.86,8.71,9.19,10.04,10.45,,
Andorra,Data source,Spirits,,,,2.67,2.48,2.83,2.71,3.13,3.64,4.11,5.05,7.27,,
Andorra,Data source,Other alcoholic beverages,,,,No data,No data,No data,No data,No data,No data,No data,No data,No data,,
Angola,Data source,All types,,,,6.20,5.88,5.46,4.89,5.59,4.34,3.90,3.22,3.08,3.08,2.56
Angola,Data source,Beer,,,,3.98,3.64,3.01,2.47,2.42,2.04,1.71,1.46,1.43,1.47,1.41
Angola,Data source,Wine,,,,0.85,0.87,0.98,0.99,1.75,1.01,1.04,0.93,0.76,0.69,0.40
Angola,Data source,Spirits,,,,1.08,1.08,1.26,1.00,0.98,0.88,0.74,0.49,0.46,0.44,0.38
Angola,Data source,Other alcoholic beverages,,,,0.29,0.29,0.21,0.42,0.43,0.41,0.41,0.35,0.43,0.48,0.37
Antigua and Barbuda,Data source,All types,,,8.04,8.02,8.14,8.70,8.99,9.13,8.50,7.60,7.17,7.16,7.48,7.33
Antigua and Barbuda,Data source,Beer,,,2.83,2.92,2.96,3.03,2.99,2.64,2.44,1.97,1.92,1.77,1.90,1.95
Antigua and Barbuda,Data source,Wine,,,1.42,1.31,1.37,1.41,1.80,2.34,1.70,1.40,1.23,1.36,1.39,1.14
Antigua and Barbuda,Data source,Spirits,,,3.77,3.77,3.77,4.22,4.16,4.11,4.31,4.19,3.98,3.98,4.14,4.20
Antigua and Barbuda,Data source,Other alcoholic beverages,,,0.02,0.02,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.05,0.05,0.04
Argentina,Data source,All types,,,,8.15,8.33,8.41,8.16,7.75,7.53,7.63,7.62,7.81,7.76,7.68
Argentina,Data source,Beer,,,,3.32,3.23,3.16,2.75,2.57,2.42,2.04,2.03,2.08,1.90,1.79
Argentina,Data source,Wine,,,,3.91,4.31,4.45,4.65,4.62,4.57,5.03,5.08,5.28,5.32,5.30
Argentina,Data source,Spirits,,,,0.45,0.40,0.44,0.44,0.30,0.32,0.52,0.46,0.41,0.49,0.52
Argentina,Data source,Other alcoholic beverages,,,,0.47,0.39,0.36,0.32,0.26,0.22,0.04,0.04,0.04,0.05,0.06
Armenia,Data source,All types,,,3.77,3.90,3.79,3.78,3.84,3.86,4.08,3.68,2.97,2.85,2.85,2.90
Armenia,Data source,Beer,,,0.31,0.38,0.31,0.40,0.37,0.35,0.27,0.22,0.17,0.17,0.23,0.18
Armenia,Data source,Wine,,,0.20,0.21,0.23,0.17,0.17,0.21,0.35,0.33,0.12,0.21,0.28,0.20
Armenia,Data source,Spirits,,,3.25,3.31,3.24,3.21,3.30,3.31,3.46,3.13,2.68,2.47,2.33,2.52
Armenia,Data source,Other alcoholic beverages,,,0.01,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data,No data
Australia,Data source,All types,9.87,10.05,10.30,10.52,10.62,10.76,10.76,10.31,10.31,9.84,9.97,9.84,9.53,10.01
Australia,Data source,Beer,4.04,4.14,4.31,4.51,4.68,4.69,4.69,4.63,4.62,4.57,4.96,4.97,4.80,5.07
