Department,Department Name,Division,Gender,Base Salary,2019 Overtime Pay,2019 Longevity Pay,Grade
BOA,Board of Appeals Department,Board of Appeals Division,F,78902.00,0.00,0.00,18
BOA,Board of Appeals Department,Board of Appeals Division,F,58481.91,0.00,0.00,16
BOA,Board of Appeals Department,Executive Director,F,144751.00,0.00,0.00,M3
BOE,Board of Elections,Director,F,183654.18,0.00,0.00,M1
BOE,Board of Elections,Polling Place Management,F,62488.00,0.00,0.00,13
BOE,Board of Elections,Absentee Voting,F,81285.08,0.00,0.00,21
BOE,Board of Elections,Registration Services,F,90848.00,0.00,2289.76,21
BOE,Board of Elections,Polling Place Management,M,75538.95,0.00,0.00,21
BOE,Board of Elections,Election Judge Recruitment,F,90848.00,0.00,0.00,21
BOE,Board of Elections,Election Judge Recruitment,F,78902.00,0.00,0.00,18
BOE,Board of Elections,Election Judge Recruitment,F,78902.00,0.00,0.00,18
BOE,Board of Elections,Information Technology,F,115627.88,0.00,0.00,28
BOE,Board of Elections,Election Operations,F,94547.20,0.00,0.00,23
BOE,Board of Elections,Election Judge Recruitment,M,90848.00,395.99,2666.56,21
BOE,Board of Elections,Polling Place Management,F,70779.09,535.97,0.00,21
BOE,Board of Elections,Registration Services,F,61734.94,0.00,0.00,16
BOE,Board of Elections,Registration Services,M,59654.55,357.63,0.00,16
BOE,Board of Elections,Absentee Voting,F,67077.33,0.00,0.00,16
BOE,Board of Elections,Registration Services,F,61734.94,0.00,0.00,16
BOE,Board of Elections,Polling Place Management,M,71852.00,52.20,2109.12,16
BOE,Board of Elections,Polling Place Management,M,59660.00,0.00,2098.16,12
BOE,Board of Elections,Absentee Voting,F,66328.14,0.00,0.00,16
BOE,Board of Elections,Information Technology,M,86091.35,0.00,0.00,23
BOE,Board of Elections,Registration Services,F,61734.94,0.00,0.00,16
BOE,Board of Elections,Registration Services,F,37506.00,0.00,0.00,16
BOE,Board of Elections,Voter Services,F,37506.00,49.60,0.00,16
BOE,Board of Elections,Director's Office,F,144746.29,0.00,0.00,M3
BOE,Board of Elections,Information Technology,F,81006.11,0.00,0.00,21
BOE,Board of Elections,Registration Services,F,50534.89,0.00,0.00,16
BOE,Board of Elections,Information Technology,F,73918.05,938.42,0.00,19
BOE,Board of Elections,Voter Services,F,90417.59,0.00,0.00,23
BOE,Board of Elections,Polling Place Management,M,85194.99,0.00,0.00,21
BOE,Board of Elections,Director's Office,F,76390.98,0.00,0.00,22
CAT,County Attorney's Office,Administration,F,90596.75,0.00,0.00,23
CAT,County Attorney's Office,Support Services,F,98208.99,0.00,0.00,23
